"Event","JO","FW"
"100 L Back","1:30.89","1:25.69"
"100 L Breast","1:42.69","1:37.89"
"100 L Fly","1:34.29","1:27.89"
"100 L Free","1:19.49","1:15.19"
"100 Y Back","1:18.89","1:14.89"
"100 Y Breast","1:28.99","1:24.39"
"100 Y Fly","1:22.69","1:18.99"
"100 Y Free","1:09.69","1:05.69"
"100 Y IM","1:18.89","1:16.89"
"200 L Free","2:49.89","2:41.09"
"200 L IM","3:14.29","3:04.09"
"200 Y Free","2:29.39","2:21.89"
"200 Y IM","2:50.99","2:45.29"
"400 L Free","5:59.49","5:37.19"
"400 Y Free","6:37.09","6:23.19"
"50 L Back","42.99","40.29"
"50 L Breast","46.99","44.99"
"50 L Fly","40.19","37.89"
"50 L Free","35.49","33.59"
"50 Y Back","36.99","35.09"
"50 Y Breast","40.99","39.09"
"50 Y Fly","35.39","33.69"
"50 Y Free","30.99","29.59"
